itemtransaction-48,21,item-17,transaction-32
itemtransaction-49,6,item-18,transaction-33
itemtransaction-50,1,item-19,transaction-34
itemtransaction-51,4,item-20,transaction-35
itemtransaction-52,1,item-21,transaction-36
itemtransaction-53,5,item-22,transaction-37
itemtransaction-54,5,item-23,transaction-38
itemtransaction-55,7,item-24,transaction-39
itemtransaction-56,8,item-25,transaction-40
itemtransaction-57,6,item-26,transaction-41
itemtransaction-58,7,item-27,transaction-42
itemtransaction-59,5,item-28,transaction-43
itemtransaction-60,8,item-29,transaction-44
itemtransaction-61,7,item-30,transaction-45
itemtransaction-62,7,item-31,transaction-46
itemtransaction-63,8,item-32,transaction-47
itemtransaction-64,7,item-33,transaction-48
itemtransaction-65,14,item-34,transaction-49
itemtransaction-66,10,item-35,transaction-50
itemtransaction-67,9,item-36,transaction-51
itemtransaction-68,5,item-37,transaction-52
itemtransaction-69,10,item-38,transaction-53
itemtransaction-70,10,item-39,transaction-54
itemtransaction-71,15,item-40,transaction-55
itemtransaction-72,24,item-41,transaction-56
itemtransaction-73,3,item-42,transaction-57
itemtransaction-74,3,item-43,transaction-58
itemtransaction-75,3,item-44,transaction-59
itemtransaction-76,3,item-45,transaction-60
itemtransaction-77,6,item-46,transaction-61
itemtransaction-78,9,item-47,transaction-62
itemtransaction-79,16,item-48,transaction-63
itemtransaction-80,31,item-49,transaction-64
itemtransaction-81,13,item-50,transaction-65
itemtransaction-82,32,item-51,transaction-66
itemtransaction-83,7,item-52,transaction-67
itemtransaction-84,2,item-53,transaction-68
itemtransaction-85,4,item-54,transaction-69
itemtransaction-86,2,item-55,transaction-70
itemtransaction-87,2,item-56,transaction-71
itemtransaction-88,1,item-57,transaction-72
itemtransaction-89,1,item-58,transaction-73
itemtransaction-90,2,item-59,transaction-74
itemtransaction-91,1,item-60,transaction-75
itemtransaction-92,2,item-61,transaction-76
itemtransaction-93,2,item-62,transaction-77
itemtransaction-94,2,item-63,transaction-78
itemtransaction-95,2,item-64,transaction-79
itemtransaction-96,4,item-65,transaction-80
itemtransaction-97,2,item-66,transaction-81
itemtransaction-98,4,item-67,transaction-82
itemtransaction-99,2,item-68,transaction-83
itemtransaction-100,1,item-69,transaction-84
itemtransaction-101,1,item-70,transaction-85
itemtransaction-102,1,item-71,transaction-86
itemtransaction-104,50,item-73,transaction-88
itemtransaction-105,102,item-74,transaction-89
itemtransaction-106,8,item-76,transaction-90
itemtransaction-107,7,item-77,transaction-91
itemtransaction-108,5,item-78,transaction-92
itemtransaction-109,6,item-79,transaction-93
itemtransaction-110,7,item-80,transaction-94
itemtransaction-111,168,item-81,transaction-95
itemtransaction-112,12,item-82,transaction-96
itemtransaction-113,1,item-83,transaction-97
itemtransaction-114,1,item-84,transaction-98
itemtransaction-115,1,item-68,transaction-99
itemtransaction-116,12,item-85,transaction-100
itemtransaction-117,12,item-86,transaction-101
itemtransaction-118,12,item-87,transaction-102
itemtransaction-119,12,item-88,transaction-103
itemtransaction-120,28,item-89,transaction-104
itemtransaction-121,12,item-90,transaction-105
itemtransaction-122,10,item-91,transaction-106
itemtransaction-123,10,item-92,transaction-107
itemtransaction-124,10,item-93,transaction-108
itemtransaction-125,10,item-94,transaction-109
itemtransaction-126,10,item-95,transaction-110
itemtransaction-127,10,item-96,transaction-111
itemtransaction-128,10,item-97,transaction-112
itemtransaction-129,10,item-98,transaction-113
itemtransaction-130,10,item-99,transaction-114
itemtransaction-131,10,item-100,transaction-115
itemtransaction-132,20,item-101,transaction-116
itemtransaction-133,20,item-102,transaction-117
itemtransaction-134,10,item-103,transaction-118
itemtransaction-135,10,item-104,transaction-119
itemtransaction-136,20,item-105,transaction-120
itemtransaction-137,20,item-106,transaction-121
itemtransaction-138,20,item-107,transaction-122
itemtransaction-140,15,item-109,transaction-124
itemtransaction-141,10,item-110,transaction-125
itemtransaction-142,10,item-111,transaction-126
itemtransaction-143,5,item-112,transaction-127
itemtransaction-144,10,item-113,transaction-128
itemtransaction-145,10,item-114,transaction-129
itemtransaction-146,10,item-115,transaction-130
itemtransaction-147,24,item-116,transaction-131
itemtransaction-149,5,item-118,transaction-133
itemtransaction-150,5,item-119,transaction-134
itemtransaction-151,5,item-120,transaction-135
itemtransaction-152,5,item-121,transaction-136
itemtransaction-153,5,item-122,transaction-137
itemtransaction-154,5,item-123,transaction-138
itemtransaction-155,5,item-124,transaction-139
itemtransaction-156,5,item-125,transaction-140
itemtransaction-157,5,item-126,transaction-141
itemtransaction-159,5,item-128,transaction-143
itemtransaction-160,5,item-129,transaction-144
itemtransaction-161,5,item-130,transaction-145
itemtransaction-162,5,item-131,transaction-146
itemtransaction-163,5,item-132,transaction-147
itemtransaction-164,5,item-133,transaction-148
itemtransaction-165,15,item-134,transaction-149
itemtransaction-166,5,item-135,transaction-150
itemtransaction-167,5,item-136,transaction-151
itemtransaction-168,5,item-137,transaction-152
itemtransaction-169,5,item-138,transaction-153
itemtransaction-170,100,item-139,transaction-154
itemtransaction-171,12,item-140,transaction-155
itemtransaction-172,1,item-74,transaction-156
itemtransaction-173,1,item-88,transaction-156
itemtransaction-174,1,item-140,transaction-156
itemtransaction-175,20,item-141,transaction-157
itemtransaction-176,20,item-142,transaction-158
itemtransaction-177,10,item-143,transaction-159
itemtransaction-178,10,item-144,transaction-160
itemtransaction-179,1,item-124,transaction-161
itemtransaction-180,1,item-143,transaction-161
itemtransaction-181,1,item-141,transaction-161
itemtransaction-182,1,item-142,transaction-161
itemtransaction-183,1,item-100,transaction-161
itemtransaction-184,1,item-116,transaction-162
itemtransaction-186,1,item-74,transaction-164
itemtransaction-191,1,item-145,transaction-169
itemtransaction-195,1,item-74,transaction-173
itemtransaction-185,30,item-145,transaction-163
itemtransaction-187,1,item-140,transaction-165
itemtransaction-202,1,item-105,transaction-178
itemtransaction-209,4,item-88,transaction-184
itemtransaction-188,1,item-74,transaction-166
itemtransaction-189,100,item-146,transaction-167
itemtransaction-197,1,item-74,transaction-175
itemtransaction-206,1,item-145,transaction-181
itemtransaction-207,3,item-74,transaction-182
itemtransaction-190,16,item-146,transaction-168
itemtransaction-192,1,item-74,transaction-170
itemtransaction-193,2,item-74,transaction-171
itemtransaction-205,1,item-145,transaction-180
itemtransaction-194,1,item-74,transaction-172
itemtransaction-196,1,item-74,transaction-174
itemtransaction-203,1,item-106,transaction-178
itemtransaction-204,1,item-145,transaction-179
itemtransaction-210,10,item-146,transaction-185
itemtransaction-211,2,item-74,transaction-186
itemtransaction-212,1,item-82,transaction-187
itemtransaction-213,3,item-74,transaction-188
itemtransaction-214,1,item-64,transaction-189
itemtransaction-215,1,item-50,transaction-190
itemtransaction-216,1,item-111,transaction-191
itemtransaction-217,1,item-105,transaction-192
itemtransaction-218,1,item-106,transaction-192
itemtransaction-219,4,item-139,transaction-193
itemtransaction-220,1,item-120,transaction-194
itemtransaction-221,4,item-147,transaction-195
itemtransaction-222,1,item-147,transaction-196
itemtransaction-223,1,item-122,transaction-197
itemtransaction-224,2,item-139,transaction-198
itemtransaction-225,1,item-139,transaction-199
itemtransaction-226,1,item-74,transaction-200
itemtransaction-227,1,item-140,transaction-201
itemtransaction-228,2,item-139,transaction-202
itemtransaction-229,1,item-116,transaction-203
itemtransaction-230,1,item-106,transaction-204
